epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,405.857,0.89686,0.19213,0.22328,0.5836,1.19285,0.99853,1,0.995,0.85727,0.99853,1,0.995,0.995,0.63408,0.0731,0.03347,0.34428,0.86589,0.0014654,0.0014654,0.0014654
29,420.882,0.88117,0.20601,0.21805,0.5801,1.18436,0.99813,1,0.995,0.83256,0.99813,1,0.995,0.99326,0.68682,0.08633,0.02203,0.33266,0.89013,0.0014456,0.0014456,0.0014456
30,433.052,0.9087,0.1782,0.20923,0.58153,1.1968,0.99821,1,0.995,0.745,0.99821,1,0.995,0.9911,1.07777,0.09852,0.04312,0.4623,1.07941,0.0014258,0.0014258,0.0014258
31,444.489,0.88436,0.19158,0.20641,0.57474,1.18103,0.99844,1,0.995,0.87301,0.99844,1,0.995,0.99305,0.59578,0.07939,0.04483,0.39684,0.85678,0.001406,0.001406,0.001406
32,457.007,0.90083,0.19164,0.2155,0.57256,1.18105,0.99801,1,0.995,0.83943,0.99801,1,0.995,0.995,0.69307,0.0568,0.02797,0.32536,0.87925,0.0013862,0.0013862,0.0013862
33,474.002,0.93253,0.17322,0.20379,0.57354,1.20092,0.99856,1,0.995,0.82985,0.99856,1,0.995,0.995,0.68638,0.07428,0.03333,0.31213,0.88654,0.0013664,0.0013664,0.0013664
34,491.773,0.8828,0.16789,0.18594,0.55356,1.18099,0.99774,1,0.995,0.8733,0.99774,1,0.995,0.995,0.54147,0.06479,0.01405,0.31491,0.83606,0.0013466,0.0013466,0.0013466
35,513.323,0.84546,0.15425,0.19014,0.53919,1.14541,0.99791,1,0.995,0.91736,0.99791,1,0.995,0.995,0.46685,0.07363,0.02835,0.27531,0.80109,0.0013268,0.0013268,0.0013268
36,532.313,0.8576,0.1779,0.19149,0.54218,1.16412,0.98984,1,0.995,0.84762,0.98984,1,0.995,0.995,0.55936,0.06849,0.02546,0.37731,0.8346,0.001307,0.001307,0.001307
37,546.999,0.88621,0.1595,0.1839,0.56882,1.18072,0.99135,1,0.995,0.88118,0.99135,1,0.995,0.995,0.51588,0.08061,0.02481,0.30829,0.80963,0.0012872,0.0012872,0.0012872
